VGGsumweight1,VGGsumweight2,VGGsumweight3,VGGSDweight1,VGGSDweight2,VGGSDweight3
0.4054711,0.4483745,0.06220495,0.3883722,0.4027527,0.3629598
0.3102015,0.4118026,0.1098915,0.2643562,0.3367877,0.4158655
0.4441172,0.4057532,0.0410165,0.2773304,0.3627363,0.3041603
0.05588304,0.09825651,0.5869926,0.1102072,0.06508615,0.2433946
0.1597011,0.04349157,0.3918383,0.1964152,0.005743824,0.3782746
0.410776,0.3116767,0.2644949,0.2403417,0.2895852,0.299539
0.1693664,0.3796241,0.112569,0.2133544,0.4226373,0.5015385
0.3799344,0.2748878,0.03872985,0.1865478,0.1860401,0.2828506
0.3399286,0.3165412,0.2582201,0.2396995,0.24069,0.3173442
0.06943824,0.08998909,0.274685,0.174921,0.05741243,0.4408907
0.3979321,0.478067,0.1480824,0.2990953,0.3080551,0.07490996
0.1979612,0.2006196,0.4841538,0.2451525,0.1986372,0.212724
0.4625704,0.3162206,0.2096703,0.4063804,0.3191448,0.2927635
0.06449828,0.008982119,0.448685,0.251353,0.2861705,0.4138243
0.3845678,0.3855657,0.1801818,0.3892139,0.3631446,0.3549995
0.3645763,0.3841676,0.3145945,0.3434825,0.3819147,0.3291235
0.3306881,0.4418283,0.1179308,0.3972888,0.4343481,0.3957938
0.4039996,0.4546145,0.01004812,0.3863432,0.4249555,0.2249043
0.5342618,0.4246483,0.1702985,0.3870383,0.2364132,0.06371386
0.433689,0.3583168,0.1876549,0.2314824,0.3256645,0.290175
0.06856985,0.3682616,0.3919148,0.3732534,0.343493,0.3988681
0.0277009,0.0008226638,0.5475822,0.09666029,0.1687401,0.4406888
0.0937794,0.09894805,0.4519542,0.1386183,0.1514022,0.3399852
0.2884278,0.3717505,0.2057528,0.2990819,0.3580225,0.5404204
0.3614936,0.2926193,0.02086962,0.1432317,0.1017835,0.03342037
0.1298285,0.2348298,0.4970243,0.117976,0.2148236,0.5023122
0.1460419,0.08704254,0.4679077,0.07396213,0.04634927,0.4955984
0.155913,0.05419008,0.2329739,0.2197133,0.3127572,0.1959788
0.1644227,0.02859845,0.5055953,0.2494778,0.2833519,0.1778702
0.2698883,0.2398035,0.3061963,0.2861311,0.07618978,0.2173514
0.2098067,0.1825812,0.08417166,0.4645356,0.3038047,0.05089835
0.4864284,0.3660844,0.2777099,0.3943097,0.3065812,0.006554745
0.1958598,0.2554746,0.5622247,0.2627479,0.2223751,0.3244205
0.3771724,0.3865862,0.01809512,0.2901128,0.3126191,0.2469574
