,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64,Feature_65,Feature_66,Feature_67,Feature_68,Feature_69,Feature_70,Feature_71,Feature_72,Feature_73,Feature_74,Feature_75,Feature_76,Feature_77,Feature_78,Feature_79,Feature_80,Feature_81,Feature_82,Feature_83,Feature_84,Feature_85,Feature_86,Feature_87,Feature_88,Feature_89,Feature_90,Feature_91,Feature_92,Feature_93,Feature_94,Feature_95,Feature_96,Feature_97,Feature_98,Feature_99,Feature_100,Feature_101,Feature_102,Feature_103,Feature_104,Feature_105,Feature_106,Feature_107,Feature_108,Feature_109,Feature_110,Feature_111,Feature_112,Feature_113,Feature_114,Feature_115,Feature_116,Feature_117,Feature_118,Feature_119,Feature_120,Feature_121,Feature_122,Feature_123,Feature_124,Feature_125,Feature_126,Feature_127,Feature_128
0,1201088.9965204597,1522585.7486447245,1119088.4628036171,2759141.6449513435,698750.7985715866,1613511.8283424377,2039933.0727803707,1604835.6022100449,1775846.5936765075,1715801.237322092,1771803.6056118608,1715135.7974586487,1832578.5658305287,1746967.5660481155,1820260.6068219543,1764293.8791256845,1611160.2302981615,1257931.3167493865,1730776.0830554366,1805099.7028348446,1969948.4568300247,1335119.5823839158,1100407.119210571,2192431.097486019,1804805.8697671294,1710849.3981046677,1508962.48569718,2171301.8866038322,1848340.456442237,911650.8688462302,2225351.825169593,1581132.5565567985,362453.3236563206,3803361.353629589,1513598.835278809,3130186.511667013,2027816.8430190086,1976463.6241305768,1259678.1547868252,1419207.3556720316,1872817.5234517455,1686642.9416880608,1596394.9521064162,1784017.802484125,1398486.7328158915,1853177.6905606985,1442197.734650433,1906146.8240214884,1234341.6690647602,1317021.3316770196,1057379.6728885174,1827755.9080819488,1152286.8645430803,1944111.4399765134,1544979.4188315868,1575505.1223890781,3360520.117020756,155167.78789640963,2183576.1030973345,1597358.189658001,1510187.3518431187,1625818.9368999004,1422584.909013033,1865282.8568074703,1884240.2340688705,1690622.917393297,2644903.549284458,2317172.3167164326,1482862.2723739147,1089288.9373318553,1693934.2185279727,842750.2623414099,1538716.4241091013,1215088.217101097,1449435.9237272665,1535608.5935102701,35936.03465402126,1748395.1325788274,988220.6355880797,1496497.240801394,1555070.3520681858,2063511.3172557354,1396901.6528818607,1760304.5269528776,1958378.889100641,4262837.171200007,1462194.3620935678,1636717.1130889654,1583813.2990980148,1506869.7266370356,1485537.0919196606,1383297.3110460043,1615225.7600216866,1458942.1711000204,2265647.672273129,978562.3035778999,1770283.388394475,1063074.539611429,1415332.3090758324,2028623.6211889386,2772997.4428296685,1667751.5920848697,1159652.28692317,2406848.303739071,2350805.3346476555,1684261.716688633,2244328.774637282,1194076.9702575207,1822152.0197194219,1562619.5264252871,1453838.6478754953,2427686.232991755,930741.2488611937,1482724.357485056,1754395.505130887,993702.3753054291,2207474.688308716,2322839.5936923176,996721.0096301436,1144062.673079908,1541896.3839006498,1459162.724557668,1701213.9713012278,498337.3869063854,663381.6325958967,2659471.591225028,2834254.42042242,2087156.9811122417
1,1015774.6801896617,1466358.9340623617,874570.0036281347,2069305.629347682,390072.06769156456,1398653.0436177254,1997219.3572574854,1011680.2910635471,1372833.8358513713,821442.7226439714,1091511.5625481904,1124473.1754102707,1752728.7728743553,1443315.633822322,1221185.4339690804,1323148.6523184478,1036245.0080791712,719773.2619915009,1037257.9291792884,1040174.8474189788,1883273.066368103,888622.0444557965,1136351.9691343606,1617214.7285100222,1688169.3472982645,1002272.5887309685,960003.6231156588,1215894.2589902617,1518625.1872180998,518129.0764660835,2458864.672053814,1435727.8288513795,651836.9247493446,4173573.571135998,1018038.3754546642,2183434.161321655,1878099.4819130898,1474321.4730303288,1284631.8336474895,1303251.908797145,1519764.687220335,1180323.6461825222,1076661.1921947002,1517520.5215485096,962145.5566689968,1513732.0698521137,632820.3291518092,987063.0121904612,1120462.475941658,611215.2380921841,541089.6906648874,1352987.1176847816,976653.2982063293,1311894.4405987263,944906.9709838033,1082154.4149103165,2881094.357117653,270436.9893387854,1515922.0382994413,988931.8043220639,1388553.0887685418,1268407.740884006,842485.4486651421,1095157.4326087832,1392862.7530540377,985820.3577339649,1770551.9468557835,2025844.3212008476,835594.9145154953,787955.8790245056,1339692.5782271624,443247.3574821353,1462218.2635486126,881410.4660789967,989487.3443482816,1224396.5382485986,40975.194774359465,1605583.9078626037,1177883.942379415,622654.9632141553,869122.2589949965,1203875.7413854003,1137813.258322835,959350.91808106,2054716.3286872506,4283145.095049858,1188460.6009054184,1192128.1814639196,1003316.5657138824,1248768.79580158,1482763.6625034213,1142716.4072937965,1332321.1208770275,984049.8427711129,1653830.2515132427,814129.1813797951,1124373.085486114,795754.6213394105,1038891.0724606216,1795903.4957891703,2064723.128787756,1197423.5640161932,1146912.1662802696,1835458.1414368153,2368762.1645462513,1027399.0813896656,1662929.4208886027,1333400.6032768786,1405779.8810135126,1081622.8347498327,1343494.2532289699,2493678.553247452,768525.4351483136,1252750.3650890589,977978.7893870212,765481.6246862859,2146459.4342906326,1326497.8162668198,651518.0776651502,951984.6081898212,1168645.04336977,1008755.6405437887,890062.6508788839,468477.14301109314,528915.4820046574,1496826.848547548,1955505.1772714853,1668885.7038400173
2,1052286.4534445629,1440221.7144061327,1082321.6410748363,2815252.4156241417,552974.1368415356,1597423.5541262552,2143853.857550025,1318936.4753516056,1751072.720702231,1047273.0737110376,1857234.4621643722,1407060.5987348557,1809887.525621444,1573491.8417853005,1820847.3848216534,1829174.5006904602,1328401.135738477,1067991.3087779507,1198088.6447013617,1468851.1248453408,1755365.7924747467,1060909.7763649374,1193776.914081335,1653695.6515712142,1815870.4961290956,1197186.0880086124,1091522.7596628964,1847275.7528920174,1781216.599799037,620433.9399535656,2092646.4674575329,1351624.62576399,220808.86394140124,3773720.3002619743,1233395.0694842339,2153703.4439463615,1658025.0714099407,1750275.110115379,981786.9617528915,995525.1475986242,1151366.95991081,1598714.1405842304,1479590.960137546,1280137.940316677,1188638.549090296,1388789.4719866514,1276319.8981761634,1583182.4882665873,1114796.0890052915,1166555.3647803068,713252.9442116022,1495318.8906431198,827084.4021338224,1255571.0014761612,1298101.6634917855,1188638.2895755768,2285562.4316779375,172254.8995781541,1617842.9916814566,1196638.8588258028,1687139.681656301,1515984.7488965988,1395126.3100585938,1319850.859862566,1688807.527575016,1207580.9927466512,1657194.2214751244,1550681.2749860287,1135068.622990951,984867.512111757,1385058.3998265266,657930.2029373348,1255274.8965320066,1205910.3266334534,1192637.2967228293,1305626.2336246371,29901.135066509247,1553430.516552925,747903.480173558,1183149.3540449739,1110592.639460504,1983742.078738451,1267677.4881175756,1374097.105752468,1581208.514829494,3263859.7943553925,1182491.762832582,1419970.878927134,1488561.7504911423,1403179.7219049633,992172.3148109913,1030414.1049435139,1581107.1811167002,1247823.8156678975,1736355.843073547,970126.0637059212,1577784.7236148715,1014868.3401394933,1279614.180624336,1857454.676054716,2908359.439338684,1758481.999837637,1018578.1340572834,2395924.4392843246,1870142.9638559818,1327358.256512642,2057513.5177039504,1008257.144136399,1712636.1371818185,1455384.288150683,1401386.7092547417,1959660.5516352654,794588.7024931982,1481062.9165625572,1375409.9140049294,755609.2326839119,1617826.6458917707,2194861.9497954994,1204428.6604336798,1048218.5413938165,1364177.5244488716,1354288.567257002,1261615.2983269393,509307.633675009,783957.98422122,2312816.7130098343,2543582.703880012,2229800.3051914573
3,874214.1249841079,1386661.4242694378,1475630.4843117148,2844242.5586140156,839851.2189117074,1900606.7743165493,2253963.974714622,1876885.7085766941,1949856.0700402856,1785217.845345974,3052787.008720398,2297618.785608053,1653264.3249616623,1679765.314948082,2365784.0659995675,1680246.8495936394,2275417.354023218,1611899.6433339417,1899023.653213501,2383945.5916265994,1624894.262418747,1489891.424127102,1142432.7276529074,2205711.078852415,1644649.7695510387,1946296.3963441849,1549442.3419704437,3379368.5957479477,2276395.581274599,1575045.5677306652,1345933.9357040077,1452686.9262798503,258954.4195228219,2804709.4364395738,1874095.970888257,2865368.703289047,1112438.2566845417,2363195.68052876,1608896.5024347305,1381363.9509499222,1635549.8814056516,2447947.482162237,1584645.8540280461,1931448.3933154345,1524801.6943952143,2146842.3084368706,2224455.3111445904,1893213.053758651,1413850.3230419457,1707495.5442280024,2968741.106369257,2079246.3151262999,1380448.2592208385,1362067.135801375,1890234.1167188287,1638367.8521585464,2533741.654713273,410536.90174400806,1617901.5170087814,1811049.6599080563,1545187.6831578016,1742580.2111572027,1515438.735113144,2590141.2630423903,2693190.062333584,3170869.2618922293,2369079.9886229336,1736684.0572793446,1513204.2645998,1528172.916968111,1348998.5189819336,1066895.0729360282,1108823.0150136948,1862576.660882473,1766427.6138057113,1443163.882242322,55355.1314702034,1630939.9962677956,346025.5034646988,1809473.7216954827,1832765.2845602036,2794445.6244452,1400850.2400778532,2203242.6344334036,1509959.627880007,2689825.7882950306,1371310.6155583113,1746719.4068107605,2681023.1990203857,1702775.3202562034,1293726.293299375,1207391.6294596791,1852767.2028536797,1794252.1832351685,1810991.3148071766,1171712.9903745651,2095838.0338169336,1508532.903482318,2119655.138269305,2063942.0216072798,4549002.270647287,1557296.605662346,1462363.8284122944,2444131.74614954,1501650.9277300835,1996196.2464444637,1669695.3934665918,1130514.3421384394,2152223.573643476,1998473.6452243328,1684925.601613529,1641598.6104636192,548212.5351151973,1657972.7881628275,2486190.7607917786,1358011.2763805687,1427159.6100227833,2829557.83939825,2296153.5655202866,1598924.832527399,1120208.638051033,1937342.197331667,2109325.7139987648,561241.6627250314,1381054.803252697,4309833.251029968,2403424.59404546,2574179.3520011306
4,1151348.1588530466,1134345.8824344426,559273.6876133829,2263487.8021878004,462116.43252658844,1277870.7631592676,1891136.08652699,850391.871452868,1099009.8836983144,1053936.7828461528,1208605.7899499536,1244428.1026568413,1381106.2340919673,1238549.4131104797,1481094.766332984,1506083.6820685267,943354.699393943,1050342.2643095478,856439.3347582817,2184699.4430310875,1614964.422627449,915617.767392531,959624.4125783443,1793816.69759655,1474011.3695238829,817430.4512376189,2169846.0787554085,2338636.565743923,1682140.0646065772,588025.0502046272,1499549.849174738,1042706.2503067032,503471.9718346298,2959808.6417655945,1026594.9992587566,1836294.0879273415,1396188.1399798393,1652859.2497364283,1121863.045781374,1088767.3160045147,838997.05097574,1219783.2535481304,1912276.0359675884,1606079.323909998,1371620.1563228369,1182445.6952877045,1873072.7958097458,1663674.3738453388,1294988.0574832857,992081.2138960212,654205.6048531532,1116712.929076597,815000.9706007242,1456523.4730101377,1865220.964030698,1565442.8972562402,2711601.7790290117,209251.73228043318,1864455.5191537738,1212341.48846443,1310484.277092129,1073320.9783787131,1045467.1949663162,1198679.2454439998,1739750.7285336256,1182531.6700962484,1157903.658014536,1186823.615030527,2520272.5644751787,1233530.2001724243,1217837.994718492,585343.0347876251,1028511.1779693365,995368.1435375214,780234.2538424432,1077559.0487043858,29746.15989178419,1495775.1065057889,1202296.701473236,1171224.4682523012,1649292.929455638,2301311.789498329,1411717.9171788692,1619096.2782914788,1936859.0907145739,3137468.58658123,1436100.0052346438,1059071.339307569,1075534.8443477154,1279583.9751813412,617612.6323807836,862991.8578717709,1101552.3802626133,1120652.155555658,1083046.7890565097,988559.5031371117,1411472.5975296497,1036903.1893123239,1176275.7178725302,1290408.1381869912,2506303.5137902945,1582654.0089009553,1279942.0543408394,1996763.4492633343,1569536.9992239475,1155647.7159574032,1655508.1624641418,1047000.9240134954,1569567.5525136292,794219.7581477463,1418519.552834794,2254674.3077402115,804824.9436730146,1000826.5403318405,1229488.3221499063,742159.420703426,1331783.2917364687,1942829.2575199753,869596.3380388916,1251998.9231885746,1175411.248071909,904942.7838278413,1656312.414134182,519190.8251079619,548735.2230250537,2458805.6783241183,1859812.0169204324,1677441.4482402503
5,570210.6367901564,1175607.3163805008,1151476.5335276127,2713562.3906092644,653740.5707652569,1306270.0912418365,2004247.3084369898,1279811.6485931017,1316244.3924392462,1254040.5848690271,2308007.3487416506,1474523.0057377815,1269406.2500312328,1497775.6337318122,1888597.425600171,1180295.1888670921,1645273.5595314503,1012099.4882481396,1310001.3619895577,1847507.1797046661,1591824.0720806122,1244085.3810573965,1032382.460886836,1982588.1140272617,1380384.354074657,1355288.805565089,1183246.2253203988,2301571.457632035,1749250.428839177,855364.6869774461,2287070.286787033,1658626.8456983566,710979.5173718929,4477036.511935234,1283047.2584180236,2367634.227490902,1889301.1545767784,1880969.139953196,1353581.5897617415,1064119.1396173388,1500091.5000120401,1993072.4374508858,1375446.348812461,1539832.3827066422,1220394.980430156,1847144.71405375,1581234.6599744633,1387763.9508275986,1015678.1544912755,1030381.0191354752,1620205.9138458967,1477361.2112132758,849580.0710781813,1515639.775826238,1468459.7515960336,1197759.689594239,3306040.990927696,280956.4197655022,1930201.5322147757,1270462.5966900587,1345592.5711358935,1151012.116667807,1137988.0817213058,1798763.717464149,2135650.8821405172,1753154.9948664904,1632649.3029966652,1998357.606503725,1030234.1192008108,1154071.0999985337,1575324.816363275,855222.3855368197,1419559.7996673584,1377577.247270286,1192266.2088813782,1458852.3541756272,62465.51369714737,1646893.7026089802,459966.02329203486,1109683.567353785,1194894.2645372152,2229671.0608889908,1251947.3129937649,1563907.5292772204,2260507.0552740768,5018931.518915594,1126253.7169666588,1234121.121744059,1972174.4053502083,1562821.7700757384,944549.2848473787,1309887.4604240656,1319700.4005248547,1258837.2149124146,1205937.0319318175,1052765.6797733307,1561858.8017144203,1227166.8816404343,1796259.8996365368,2322984.871040821,4237061.699316025,1315406.992575407,1151032.3401567936,2826603.4176523685,2384969.904002905,1429109.6414678097,2145415.3229939938,1335888.353207782,1673633.347547114,1495030.7722815275,1236661.2028148323,2699649.3150048554,512107.67710089684,1351755.0898712873,1654011.6720616855,837445.7101376206,1732131.366943121,1600915.354393959,1613849.7513532043,1059455.7289780974,1003562.4096162394,1445421.9096014798,1426694.8180570006,445105.0956529081,1241002.569515884,3325639.5560264587,2073546.2250644565,1836944.7641086578
6,1077571.7145066261,878695.9301371425,783780.6447475106,2011318.7492243052,501328.1078748703,1019879.2774214745,1890315.4864041805,973480.71035254,1063485.5107718408,1119627.9075900912,1610082.7729797363,1176409.9055392742,1011857.8575414121,1051609.2809981294,1325103.0110788345,975314.3354906738,1316832.114172548,968628.5190410838,1043077.8390114307,1314063.3324038237,1784902.4870224,876027.4576111138,791266.6049774289,1548034.0664281845,1028335.4290137589,1007036.888106741,1118334.2420728803,1845682.1385030448,1246763.293341726,838266.3610810637,1387224.1043548733,1047992.431177482,665897.211394161,2578805.982237816,1193892.8247051835,1953185.9970681667,1207232.3557076454,1268804.522088915,1533444.6861882284,859096.8717168719,1054600.8483333513,1385002.519601807,1028573.588373661,1510403.5702172518,917913.8743126988,1582668.2165837288,1314004.2540847957,1187726.5456169248,1599950.9568661451,998474.7503007054,1344738.989531517,1133178.6290418506,733419.4184961319,1077907.2307830676,1094113.3806970045,1113203.129032135,2662543.3882472515,369353.6728078723,1437995.99451828,1034317.3322824091,955595.5991212726,1001252.4306521416,1043106.9670534134,1492291.1673588157,1654838.8791373968,1393448.8554873168,1574508.2405798733,1333639.6599063873,1019283.2522562742,850295.3259669542,1291794.7504315376,615604.3401932716,897563.2099772692,1172020.466685772,1087539.0728924796,985026.5204251409,57849.58356189728,1916799.6403627098,1154223.4804295897,1069694.5788627826,1166910.6798670888,1539647.7839922905,1229016.3575212955,1251599.2085095793,1593153.6999445707,3166643.787255287,1511050.727072686,974576.5426135063,1394347.1859025955,1071069.0532658696,992549.5382152796,892630.9274557233,996351.5243859887,1162325.8376019225,1136935.5664796531,739035.624674797,1202476.981656611,1183820.8405400217,1207160.3689644039,1477891.7985938787,2431033.5539266467,1030157.684699282,1439144.8582937717,1707045.8959679604,1474643.312566042,1118962.2844834328,1071050.8173606396,1053749.4218270034,1139978.7970243394,1133322.3393463325,885698.321171008,1974970.3075504303,720494.5917392969,966757.0652173758,1429490.4485573806,1102720.052134782,1297317.1978841722,1650846.867121011,1024508.190420568,902135.5820071697,943630.2494390011,1054217.6628893018,1274930.834354898,398378.2762084007,898757.028303042,2163111.322675064,1791908.6788281947,1507288.670888424
7,570772.3500409052,796369.1997091174,382398.29308642447,1914103.7793587446,324004.6807888746,808796.2391390651,1605339.4245135635,655255.4580753744,1340518.0363419652,272623.78847157955,583897.4793723524,947609.4499778748,1003207.6444108486,1011616.3318389244,723936.9294361472,968359.3307180107,574817.2503049225,366059.74061596394,636200.3115052581,649013.4030400515,1344305.9880890846,442042.5122984797,755047.4324842691,1567808.9959083796,1038566.9035623372,626892.8364953473,492246.367213279,626621.8299388327,1129042.9529320896,247528.17463295907,2210588.1291499287,778723.3183551431,583270.1839749217,3865108.6433845162,692794.7934394479,1302786.045512244,1487307.0560637712,1050787.775558561,942717.7734482884,496748.8360719681,997424.3659053966,729452.3926753551,412195.51024991274,1475984.4714394808,567088.7181271613,1284318.3708122969,173310.59952376038,767795.365701139,594798.8852797151,190367.80456207693,307472.7968593836,938734.8960803151,418135.0012617111,867661.0805326104,531485.5238000974,449082.07221506536,2313074.4298752546,88630.9549069982,1115388.4885817915,575135.3872914314,837444.4932546765,1253150.9168504477,447919.2557272911,859117.0587937534,1092755.4632344395,767233.8395082057,1003947.6307876408,1341766.6208527088,302804.9779111147,331637.8812663555,1089862.745573461,256992.57440268993,1183575.0897097588,438595.6948714107,404328.0118315816,848458.7379993796,27615.13476085663,1184670.156914577,1056541.7940686643,347008.56531119347,651909.1755244732,608655.5623766035,876458.9038952589,742608.410879463,1790650.9807391167,4580535.018918991,778589.4201720953,876734.7419059798,646904.5114555359,864107.516764462,544173.46311271,682506.4726856947,1029172.3502518982,510079.0139299929,845273.9346776009,471594.3631615639,712607.8856977224,436959.10618287325,730760.6108279526,1284938.0322187543,1465698.9979213923,729306.598971948,626481.7248854637,1925971.340375185,1835170.7768194675,608164.6091170311,1482887.002948165,889378.5644572377,949774.8379709423,583113.0759331412,899874.8695636392,2295165.7797875702,492556.29637759924,570049.039213419,701665.1143456697,387572.12469404936,1654936.9890635014,957922.881881237,637375.3300461471,526640.0918434933,806804.309757486,569725.9182165563,677271.7244062107,197857.36359128356,220231.60709147155,924412.1878471822,1542123.6025782079,1900947.5030252934
8,1152874.820775807,1896888.002262488,1981040.67437464,3502331.6118689775,1212552.6996910572,2308357.4073667526,2117378.0709136575,1933328.664739132,2002918.3818150163,2383372.5337721705,3026460.004952073,2229461.039659977,2359563.0553069413,2131635.905947149,2628443.7798552513,2123583.5637165904,2543364.684384823,1870979.781321466,2087338.7759971619,2419263.6591262817,1822466.2637844086,1873009.812503934,1366894.585240811,2661749.516777158,2571138.673651904,2276882.8414046764,1857072.7386680245,2794396.9060997963,2681776.0812493563,1508294.2892478108,1861913.447845459,1914065.523588866,274261.9111403525,3556646.360707313,2060264.7401770353,3361471.789850712,1637651.3549127579,2787876.7591026723,2446084.161707878,1678222.8858942986,2406689.9241033792,2701901.5074255317,2137842.3425189257,2058424.8846684694,1867441.7325995564,2965267.149022937,2541376.1160112023,2210872.8742724955,1615781.827482015,2281403.7632439733,2352588.081626296,2386810.746600017,1410055.801802516,2006556.0506808981,2241825.587963164,2112285.037349701,2760309.8845624924,625359.2200296819,2131687.6934815645,2063990.1501331031,2077787.068295613,1758675.9119671583,2250249.5461132526,2528922.970756054,2541463.1828807592,2719152.8352000117,2688764.8107922077,2167371.418700695,1908843.3787875175,1880559.952834934,1475324.0668965578,1323690.0859720707,1281718.0257616043,1939986.3057970852,2032613.6792230234,1899567.530544281,50184.29360437393,2023731.1988358498,643324.7002242804,2007965.0989971757,1933844.3083727956,3074287.242758274,2114991.9951280355,2233013.8364408016,1765810.7193122879,2471063.03147313,2275105.552969575,1961771.4343833327,2309794.336446762,2077132.5908288062,1509764.5021028519,1674338.0333036184,2046994.9124882221,2187295.63779366,2779653.036730528,1507712.6175017357,2277687.422035873,2085185.5405293256,1980200.7762065232,2627630.348069072,4988017.4054759,2087754.1856853962,1943483.1245396137,2778216.753369808,2232835.3822205067,2183118.6785588264,2055439.4323852658,1483496.72290802,2470178.0447917283,2271298.971289767,1889709.3194081783,2034892.556379795,938108.7667369246,2461273.592098713,2251124.971490979,1938413.4343753308,1684364.434240222,2928128.9756918103,2374933.9032439888,1637366.068007648,1454964.6058173329,2211518.0278461277,2107455.8529777527,742816.7086107135,1698821.8387504816,3292041.01845932,3110139.7759115547,2327227.324657917
9,643862.47916767,1651397.9477262497,1341475.9209006429,2864159.443208933,509709.6807746887,1740167.1500473022,2242514.5517228693,1422706.6080513,2143696.6067356765,1124469.1319280863,1919702.0306358337,1232019.4263939857,1959148.084348768,1497629.958460331,1750015.5098649263,1760519.7401623726,1338239.7261638641,901260.3202185631,1409995.5780689418,1456753.2017288804,1633838.9352874756,1126194.412524581,1278666.9237393439,1647299.9271626472,2151976.3274596334,1281934.235076189,995017.3885739148,1734263.585607022,2091729.4722429216,293912.2505764589,2857705.1655015945,1446897.9608765393,200295.50085744262,4908438.358251572,1219919.124467671,2579685.810652256,1883837.044531107,2170256.2843179107,835414.9755091742,1265094.0100854784,1511534.2023545504,1911555.824019432,1177813.2796541452,1396118.2525014877,1165476.6625173688,1636020.1513125896,807542.7046080604,1495796.7810355723,585066.727642417,826717.4348573983,352628.32589793205,1967685.271733284,1054153.1854788065,1382951.089842558,1308098.419138126,1072640.883360356,2542224.962966919,49290.650661706924,1695747.985941425,1277442.1924060583,1615272.3439881355,1908607.8699042797,1009394.5449743271,1163184.2074899673,1786622.3439729363,1285740.1947323978,2062021.566484481,2041458.6031477414,803741.5932821035,888992.7561960816,1462520.8747130632,682683.9256846011,1680757.4225766733,994398.9930240661,1084913.7507013977,1485448.6479603648,26996.17033931613,1476878.6887006462,786016.087287873,916434.6310245395,1026596.6000766158,1770881.5964493752,981687.8040304184,1400362.2475607544,1960940.6495062187,4561389.749519348,694497.1124527007,1782943.8958776891,1567609.6809978485,1505018.5502211452,1290624.630896628,1312980.01899153,2022778.4376482964,990613.2388193235,1965623.9588997066,980779.2012991905,1519658.9334151149,715521.6869846582,1592924.992953807,2118666.0224924088,3746797.0742326975,1423884.965170145,533167.1946966648,2715363.0755531937,2321509.170319319,1492814.402266264,2460569.470808029,1102981.8186734766,1882559.746857196,1534092.9434361458,1807980.4369616657,2380075.374434501,749865.4028790593,1604547.3712787628,1405983.275704831,346942.07034111023,2340335.5484731197,1965491.9160971642,1085246.0567244887,1163956.9387825727,1257818.0511126593,1610536.2057612538,1166770.8575717863,360647.7514767647,443907.67524425685,2621038.769116342,2436726.2526998967,2774394.6443653107
