,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46,Feature_47,Feature_48,Feature_49,Feature_50,Feature_51,Feature_52,Feature_53,Feature_54,Feature_55,Feature_56,Feature_57,Feature_58,Feature_59,Feature_60,Feature_61,Feature_62,Feature_63,Feature_64
0,3866667.3979748785,1667734.6558163762,113993.01814414561,2028130.237090379,12998730.160274506,2645050.3240337297,2076146.217433542,586852.9895935059,1324031.1194117665,1507895.3678423762,3718666.157059908,1461374.5741095692,2361108.811536163,3770798.270503506,567982.0203105062,1745319.970435217,950200.4561414719,3016634.206336051,2282117.409861475,1660058.3134878874,2144417.044865072,1378552.701143071,682900.0272874236,922604.5966394059,972008.9512789845,10598377.689288616,2606953.2006891966,6972305.637868404,3199376.622885406,2710266.151480019,1825201.4121381417,8061112.517464578,2265381.3212161213,2292835.1037244797,7488564.044611752,1485593.7684715688,1447395.530290097,4219586.030666202,115467.59993112087,182046.79735600948,3530799.1427152157,4993486.081872344,722144.2858361304,2312566.448933527,2203660.424694024,5668257.45219326,4495115.3543560505,7387850.649709433,1096005.6170341074,2426240.8524713814,2419719.1926398277,20246.213023364544,3995052.2109904587,3579958.7682439983,752789.2763967216,2520749.9575539976,2074348.1208218336,1521545.4679973423,2647138.081854105,2801025.130894892,3440083.59970966,1676442.1870495975,2235063.759598624,1550063.6091179252
1,3229372.930786073,1477946.045678556,87516.5330940783,1198584.405954592,12999027.524917603,2088144.622287847,1426736.757115759,237620.5575299263,609962.4701222181,1331521.3705509454,2816181.6143274307,1552374.1405994445,2151128.1116629243,2897538.859512508,596255.9371724129,913349.6607694179,495981.77177095413,1983514.9652690813,3434761.750745058,1107760.1354066283,1149665.0340444446,1157080.6069104224,333124.69727241993,1215726.7632957846,740392.8940297663,11133951.473991394,1861061.0270137787,6463029.105926514,2548890.8863520026,1958371.9615445137,1090277.258642029,8877236.648792267,1842212.0803155825,1878412.5594941974,7566170.381918073,1092764.667916298,944681.7276751399,3366378.2366203964,82183.41586887836,271687.2338151336,2961232.3517798483,4706436.349484205,606077.0310336649,1574913.0105353743,1649831.5981584415,7094420.642795771,4159699.7008702755,6730814.281166077,745080.724160105,2607140.137034014,1369760.7399600744,9155.80817258358,4341315.629462242,2845166.5873485208,1551627.1396404505,1581096.1413962096,1417184.9472244978,883220.5515244007,1938289.0185104012,2237950.5178129673,2944098.2114890814,2173412.768591054,1411172.3209681958,891416.439234674
2,3504491.4199264944,1508674.370558083,418737.15612465143,1340844.561346665,11333162.089828491,2399509.3498311043,1792190.805958368,410186.64494109154,1037297.0692456961,1412069.9353045225,3244808.505627632,1200986.562023282,2370738.8567800224,3314599.129928723,449073.6614392847,1131565.2384202778,770851.7284837961,2344432.279338129,1842983.8076147735,1539893.2153385878,1762269.715736866,1427935.2536446005,537111.5644452572,599178.743968945,1001427.2467400283,8758267.275259018,2330227.146893561,6766600.8558654785,2694326.731477797,2689380.6354848146,1699129.824428767,6330717.540964603,2208382.8819666356,2180212.7816592455,6131158.474286616,1498222.7873416543,1310210.5205645114,3271253.8405824006,132463.73455411196,194945.96576918662,3125604.9536243975,4532822.174483657,783827.8504721373,1845515.6867434531,2164347.8828134686,3947469.624022186,4011185.5216869116,6484266.66683197,1113734.9578739405,1298552.4573176876,2036131.7968539596,23561.921750932932,4104517.6008586884,3178238.7113266587,448733.37537169456,2305373.792980939,1847426.5418789387,1339365.0742746592,2626058.3248001486,2374720.671559334,2109257.2914679945,1238538.7675068155,2071324.1235682666,1227687.4996312857
3,4351802.754935652,1969627.078067124,221850.46065667272,5996341.249582052,13205444.733329773,2860899.7802490965,2597412.490625292,3621342.36609748,1112290.3962673545,1570426.5118822604,4429654.438333571,650508.1221355945,2618503.906962782,3773430.8403206468,316594.5367567241,5780961.836639881,738909.8209633827,3368021.3597200885,151776.39206051826,1935648.4079587758,2911889.430538714,1646954.1402969658,654071.2784495354,311865.4403619543,5553285.891885757,8665145.683179379,3042539.1412726045,10912997.904972076,3487031.3623900414,3174542.071136415,2312611.6174438037,5467110.863618374,2443190.4578201845,2481884.311177969,6794039.2092683315,1884867.7543873787,1512532.9669371992,4329008.3931697905,103579.29635775089,72601.75847664475,3638797.4930934906,4619497.3237223625,1059539.0459290221,2628434.584618658,2471073.243618995,1291664.447087139,4392110.31318593,7582150.8402814865,1057288.0613962114,2830024.923494816,3171885.643132746,29717.563112080097,2095543.5159448087,4012123.5452509522,315928.17079880834,2994466.7972803116,2615976.9572939277,2104404.423897058,3039387.1206671596,3412811.994666785,6559997.233028293,327373.2355420776,2727436.7205283083,1719992.5207570791
4,3267777.086259514,1443262.2454267144,162896.39764273167,1484327.9348821044,10255838.218357086,2821579.3940287307,2019957.5684885979,434102.17435380816,1536727.7429230213,1442875.881612271,3147032.336291671,1667030.3680233657,2364585.56799677,3459768.3787237257,774661.7725038081,1256095.999382399,1167921.5868372917,2764639.936286263,3421909.883037448,1318266.6704120338,2483394.965476811,1317815.9932867289,782589.6584117413,1419625.6978705637,490648.92211289704,9351481.690395355,2820899.3470054865,4330571.214846849,2432577.226728022,2230409.3423272967,2102297.3861926757,7838235.421627998,2122430.199341275,2137453.594689846,6245507.872360051,1334524.396585673,1430391.938956827,3707256.498110175,165727.64258861542,297361.31993211806,2708760.598582059,4257171.279106617,589179.0509183258,2319405.246816963,1897644.9820206985,6913390.250641167,3946634.647860527,6081138.026224613,1070922.1002936065,3060075.548521884,2886569.6652175784,50851.74028965831,3321010.9153198153,3645900.7375028133,1275366.157716781,2568230.7936152816,2219546.0461294353,1832664.6260424852,2190485.1417116076,2721755.508803241,3370861.2473364174,2412150.5723529905,2448640.2015310824,1508347.5946629047
5,4387888.450764418,2097961.905498922,1011097.8277509809,3911689.881796658,18011356.044403076,2410326.978015475,2104559.341351472,2485169.048683375,903166.2416100502,1837304.9520664215,4028617.22854656,927999.6163728088,2523572.993114263,3553035.6783919483,352604.6420532614,3685806.5189080685,565576.1052919626,2728679.424159348,895644.1449884176,1745951.0084033608,2005892.335676074,1411250.1939150393,498885.29472613335,546735.7805922218,4714154.754472494,12410334.154556274,2582753.031285286,13744863.424087524,3054356.6125495434,2636569.808691025,1759394.8418513238,8063744.932125568,2141314.7430465,2198548.421624899,9197200.870447159,1560621.0165079236,1272704.7213797122,4303038.898876488,84934.39217925072,79526.32897397876,3587047.341969371,5712658.468316555,1294101.76249215,2111897.970347658,1984206.6607169807,3489952.9316755533,5343987.171682119,9059978.582504272,813739.9453741908,1495357.4944448993,2355479.564786315,20182.349179446697,4840071.975242615,3836777.6167519987,1031732.6401098669,2396245.207448721,2097035.5666501522,1638915.4031939209,2462548.7466663867,3300749.0396602154,4248556.632858157,733513.4327324033,2179962.744205028,1254881.7574561834
6,3048874.9634821713,1330133.37247324,247769.63024559617,2242228.5753057003,10277825.814929962,2149760.3319645077,1672052.297300443,1160576.275358379,849136.3025512099,1234283.0528534949,2921109.401689887,1543521.9161891341,2043545.166468531,2727522.9830875844,666527.2792185023,2005854.121204555,599280.3969856501,2234605.964098856,3599855.600029826,1109548.278532207,1731241.951260507,1137265.5397308469,467049.7521085739,1415880.4470286332,1765210.118442379,9032907.34095192,2154188.861798048,5169284.136228561,2402364.229551971,1826385.9091755152,1357964.6812451184,7563473.126175165,1619103.7662215605,1659549.952303648,6212963.067797959,1120423.0969878435,980636.8179941773,3331462.8793663085,95682.06328099966,300064.19211278856,2542226.461882949,3776403.8049708605,560614.6462639794,1825381.3158239722,1553708.1954628378,6811081.899775475,3585358.8105371,5866853.265269965,694247.6275520921,3333271.4097625017,1929725.7133862376,20130.46772456169,2914516.888904959,3007107.7697505057,1629207.9766294062,1763512.2353946567,1721180.6131602526,1265940.9125374258,1893128.712505564,2385764.25739038,4054825.9913997054,2351141.2105993703,1603485.5737344287,1119256.4204804897
7,2640260.0121127963,1182705.9389840364,467.4888807833195,1376725.1513500214,12757526.51096344,1429327.936913766,1048628.0880391225,179013.5576992929,236638.9472385645,1153714.4074598998,2123420.148762405,1304357.4311638772,1815053.2899465263,2283672.9490374923,544314.5191082656,1102949.060388565,96255.95313608646,1285194.86149095,2599207.2027297392,756349.643915385,633736.4373383522,858907.0672821105,109997.41749864817,1274407.007069286,597513.4298765063,11609383.060379028,1388975.4207280576,5842779.454086304,1842383.3148230314,1164652.1718546152,570815.3649220206,9299601.061359406,1234817.9767558724,1245009.075164795,7447994.967312872,649641.7715291232,521576.8565649092,2804862.58759892,23378.66853570938,66763.22246421874,2200979.794056773,4342423.804330587,297482.95618043095,1018317.3297708482,1165603.1048798934,7254036.746200085,4005223.920795679,6300738.45690155,314306.21127706766,3087861.1753673553,778353.0267571211,2495.3322264254093,3063948.679031372,2374192.7709652185,1579876.5978992432,938791.1499422789,960132.7165255547,532340.2061372399,1384000.7748222053,1864536.0588655472,3569694.4164848328,1755814.8686544374,799177.6013142765,330524.40587097406
8,4620950.864951104,2055860.2602533698,818468.3297615349,4222242.308701992,12136143.041324615,3287180.907652244,2665950.163190171,2458558.9407835305,1679882.392944336,1731641.2984193712,4552134.9816657305,1079245.342254579,2878540.6197288632,4066547.9579963833,522683.0745650083,3998705.8017864227,1372970.215214491,3760175.96574717,503679.5102354884,2200101.070596516,3058413.7133565545,1896302.5851836503,1013278.0487824082,517131.29436982423,3937787.1905198246,8095992.311897278,3425875.9594169855,9540167.735342026,3834087.888637185,3823932.158867836,2601001.5130564235,5268510.35080117,2920429.6218843833,2960714.545159936,6486830.265395939,2222815.973474711,1844901.7821208537,4564374.412647128,227998.5411476493,186933.04625861347,4124018.3815881014,4786557.775518417,1255959.9600925297,2743775.422119722,2848664.468141161,2351575.8963415325,4303390.233884096,7438772.980224133,1492364.9491399527,2243548.4114523605,3245764.083485782,65107.945661485195,3522804.616847977,4267236.232269287,332490.5885197222,3369538.410270214,2890780.4595213532,1964313.3762188256,3410123.0777041465,3036073.6910734177,4703575.944524676,827370.0258749165,3023815.0573847927,2202358.9413877726
9,3982529.85778141,1670295.8762666583,838.2618578076363,1519822.920185089,14971020.48248291,2246150.6132299453,1659955.4082171172,158393.95976760983,611499.5922480822,1513573.9181375057,3463323.704267323,1293105.7892764956,2443065.917152792,3389932.84459725,491343.6212550923,1192989.0658450127,387033.7008135319,2253912.910456717,1608012.3025741577,1577071.6587581933,1507198.8638094068,1355089.7794868946,298821.7003337145,767468.6814068034,894600.8054161072,12183750.218444824,2092202.7539343834,8274625.099807739,2809742.849572122,2629390.6945979,1430226.7504371405,8946378.486839294,2155167.058890529,2157113.5130708218,8343376.566637993,1489420.6634078026,1071311.1464436054,3764043.012552172,58312.13836735487,79692.56029477715,3485582.688991785,5510580.9347229,642335.9810793549,1757591.333598256,2079216.0944349244,5604039.135192871,4883730.958616614,7965072.663719177,827043.9878700376,1860616.171447754,1724186.0043650866,3149.4832485318184,4263780.220001221,3307345.7391667664,696920.2770940065,2011906.0871139765,1634077.238805607,1181085.1630735993,2495432.533320844,2651989.5106580257,2829695.8173713684,1280435.5885956287,1815550.9055821858,947483.8754413128
